1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 7900000081771641
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sat Sep 20 15:43:01 PDT 2025
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Sep 21 05:53:01 PDT 2025
Total Mission Samples:  4181
Total Device Samples:  23407
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
9/29/25, 8:53:01 PM,C,9.54
9/29/25, 9:03:01 PM,C,9.54
9/29/25, 9:13:01 PM,C,9.54
9/29/25, 9:23:01 PM,C,9.54
9/29/25, 9:33:01 PM,C,9.54
9/29/25, 9:43:01 PM,C,9.54
9/29/25, 9:53:01 PM,C,9.54
9/29/25, 10:03:01 PM,C,9.039
9/29/25, 10:13:01 PM,C,9.039
9/29/25, 10:23:01 PM,C,9.039
9/29/25, 10:33:01 PM,C,9.039
9/29/25, 10:43:01 PM,C,9.039
9/29/25, 10:53:01 PM,C,9.039
9/29/25, 11:03:01 PM,C,9.039
9/29/25, 11:13:01 PM,C,8.538
9/29/25, 11:23:01 PM,C,8.538
9/29/25, 11:33:01 PM,C,8.538
9/29/25, 11:43:01 PM,C,8.538
9/29/25, 11:53:01 PM,C,8.038
9/30/25, 12:03:01 AM,C,8.038
9/30/25, 12:13:01 AM,C,7.537
9/30/25, 12:23:01 AM,C,8.038
9/30/25, 12:33:01 AM,C,8.038
9/30/25, 12:43:01 AM,C,8.038
9/30/25, 12:53:01 AM,C,7.537
9/30/25, 1:03:01 AM,C,7.537
9/30/25, 1:13:01 AM,C,8.038
9/30/25, 1:23:01 AM,C,8.038
9/30/25, 1:33:01 AM,C,8.038
9/30/25, 1:43:01 AM,C,8.038
9/30/25, 1:53:01 AM,C,8.038
9/30/25, 2:03:01 AM,C,8.038
9/30/25, 2:13:01 AM,C,8.038
9/30/25, 2:23:01 AM,C,8.038
9/30/25, 2:33:01 AM,C,8.038
9/30/25, 2:43:01 AM,C,8.038
9/30/25, 2:53:01 AM,C,8.038
9/30/25, 3:03:01 AM,C,7.537
9/30/25, 3:13:01 AM,C,7.537
9/30/25, 3:23:01 AM,C,7.537
9/30/25, 3:33:01 AM,C,7.537
9/30/25, 3:43:01 AM,C,7.537
9/30/25, 3:53:01 AM,C,7.537
9/30/25, 4:03:01 AM,C,7.537
9/30/25, 4:13:01 AM,C,7.537
9/30/25, 4:23:01 AM,C,7.537
9/30/25, 4:33:01 AM,C,7.537
9/30/25, 4:43:01 AM,C,7.537
9/30/25, 4:53:01 AM,C,7.537
9/30/25, 5:03:01 AM,C,7.537
9/30/25, 5:13:01 AM,C,7.537
9/30/25, 5:23:01 AM,C,7.537
9/30/25, 5:33:01 AM,C,7.036
9/30/25, 5:43:01 AM,C,7.036
9/30/25, 5:53:01 AM,C,7.036
9/30/25, 6:03:01 AM,C,7.036
9/30/25, 6:13:01 AM,C,7.036
9/30/25, 6:23:01 AM,C,7.036
9/30/25, 6:33:01 AM,C,7.036
9/30/25, 6:43:01 AM,C,7.036
9/30/25, 6:53:01 AM,C,7.036
9/30/25, 7:03:01 AM,C,7.036
9/30/25, 7:13:01 AM,C,7.036
9/30/25, 7:23:01 AM,C,7.036
9/30/25, 7:33:01 AM,C,7.036
9/30/25, 7:43:01 AM,C,7.537
9/30/25, 7:53:01 AM,C,7.537
9/30/25, 8:03:01 AM,C,7.537
9/30/25, 8:13:01 AM,C,7.537
9/30/25, 8:23:01 AM,C,8.038
9/30/25, 8:33:01 AM,C,8.038
9/30/25, 8:43:01 AM,C,8.038
9/30/25, 8:53:01 AM,C,8.038
9/30/25, 9:03:01 AM,C,8.538
9/30/25, 9:13:01 AM,C,9.039
9/30/25, 9:23:01 AM,C,9.039
9/30/25, 9:33:01 AM,C,9.54
9/30/25, 9:43:01 AM,C,9.54
9/30/25, 9:53:01 AM,C,9.039
9/30/25, 10:03:01 AM,C,9.039
9/30/25, 10:13:01 AM,C,8.538
9/30/25, 10:23:01 AM,C,9.039
9/30/25, 10:33:01 AM,C,11.041
9/30/25, 10:43:01 AM,C,10.04
9/30/25, 10:53:01 AM,C,11.041
9/30/25, 11:03:01 AM,C,11.041
9/30/25, 11:13:01 AM,C,11.041
9/30/25, 11:23:01 AM,C,11.041
9/30/25, 11:33:01 AM,C,11.041
9/30/25, 11:43:01 AM,C,10.541
9/30/25, 11:53:01 AM,C,10.541
9/30/25, 12:03:01 PM,C,10.541
9/30/25, 12:13:01 PM,C,11.041
9/30/25, 12:23:01 PM,C,11.041
9/30/25, 12:33:01 PM,C,11.542
9/30/25, 12:43:01 PM,C,11.041
9/30/25, 12:53:01 PM,C,11.041
9/30/25, 1:03:01 PM,C,11.041
9/30/25, 1:13:01 PM,C,10.04
9/30/25, 1:23:01 PM,C,12.042
9/30/25, 1:33:01 PM,C,10.541
9/30/25, 1:43:01 PM,C,11.041
9/30/25, 1:53:01 PM,C,10.541
9/30/25, 2:03:01 PM,C,10.04
9/30/25, 2:13:01 PM,C,9.54
9/30/25, 2:23:01 PM,C,11.041
9/30/25, 2:33:01 PM,C,10.541
9/30/25, 2:43:01 PM,C,10.04
9/30/25, 2:53:01 PM,C,9.54
9/30/25, 3:03:01 PM,C,9.54
9/30/25, 3:13:01 PM,C,9.54
9/30/25, 3:23:01 PM,C,11.041
9/30/25, 3:33:01 PM,C,10.04
9/30/25, 3:43:01 PM,C,10.04
9/30/25, 3:53:01 PM,C,10.04
9/30/25, 4:03:01 PM,C,9.54
9/30/25, 4:13:01 PM,C,9.54
9/30/25, 4:23:01 PM,C,9.039
9/30/25, 4:33:01 PM,C,9.039
9/30/25, 4:43:01 PM,C,9.039
9/30/25, 4:53:01 PM,C,9.039
9/30/25, 5:03:01 PM,C,8.538
9/30/25, 5:13:01 PM,C,8.538
9/30/25, 5:23:01 PM,C,8.538
9/30/25, 5:33:01 PM,C,8.538
9/30/25, 5:43:01 PM,C,8.538
9/30/25, 5:53:01 PM,C,8.038
9/30/25, 6:03:01 PM,C,8.038
9/30/25, 6:13:01 PM,C,7.537
9/30/25, 6:23:01 PM,C,7.036
9/30/25, 6:33:01 PM,C,6.536
9/30/25, 6:43:01 PM,C,6.536
9/30/25, 6:53:01 PM,C,6.536
9/30/25, 7:03:01 PM,C,6.536
9/30/25, 7:13:01 PM,C,6.536
9/30/25, 7:23:01 PM,C,6.536
9/30/25, 7:33:01 PM,C,6.536
9/30/25, 7:43:01 PM,C,6.536
9/30/25, 7:53:01 PM,C,6.536
9/30/25, 8:03:01 PM,C,7.036
9/30/25, 8:13:01 PM,C,6.536
9/30/25, 8:23:01 PM,C,6.536
9/30/25, 8:33:01 PM,C,7.036
9/30/25, 8:43:01 PM,C,6.536
9/30/25, 8:53:01 PM,C,7.036
9/30/25, 9:03:01 PM,C,7.036
9/30/25, 9:13:01 PM,C,7.036
9/30/25, 9:23:01 PM,C,6.536
9/30/25, 9:33:01 PM,C,6.536
9/30/25, 9:43:01 PM,C,7.036
9/30/25, 9:53:01 PM,C,6.536
9/30/25, 10:03:01 PM,C,7.036
9/30/25, 10:13:01 PM,C,7.036
9/30/25, 10:23:01 PM,C,7.036
9/30/25, 10:33:01 PM,C,7.036
9/30/25, 10:43:01 PM,C,7.036
9/30/25, 10:53:01 PM,C,7.036
9/30/25, 11:03:01 PM,C,7.036
9/30/25, 11:13:01 PM,C,7.036
9/30/25, 11:23:01 PM,C,6.536
9/30/25, 11:33:01 PM,C,7.036
9/30/25, 11:43:01 PM,C,7.036
9/30/25, 11:53:01 PM,C,7.036
10/1/25, 12:03:01 AM,C,7.036
10/1/25, 12:13:01 AM,C,7.036
10/1/25, 12:23:01 AM,C,7.036
10/1/25, 12:33:01 AM,C,7.036
10/1/25, 12:43:01 AM,C,7.537
10/1/25, 12:53:01 AM,C,7.537
10/1/25, 1:03:01 AM,C,8.038
10/1/25, 1:13:01 AM,C,8.038
10/1/25, 1:23:01 AM,C,7.537
10/1/25, 1:33:01 AM,C,7.537
10/1/25, 1:43:01 AM,C,7.537
10/1/25, 1:53:01 AM,C,7.036
10/1/25, 2:03:01 AM,C,7.537
10/1/25, 2:13:01 AM,C,8.038
10/1/25, 2:23:01 AM,C,8.038
10/1/25, 2:33:01 AM,C,7.537
10/1/25, 2:43:01 AM,C,7.036
10/1/25, 2:53:01 AM,C,7.537
10/1/25, 3:03:01 AM,C,7.537
10/1/25, 3:13:01 AM,C,7.537
10/1/25, 3:23:01 AM,C,7.537
10/1/25, 3:33:01 AM,C,7.537
10/1/25, 3:43:01 AM,C,7.036
10/1/25, 3:53:01 AM,C,7.036
10/1/25, 4:03:01 AM,C,7.036
10/1/25, 4:13:01 AM,C,7.036
10/1/25, 4:23:01 AM,C,6.536
10/1/25, 4:33:01 AM,C,6.536
10/1/25, 4:43:01 AM,C,6.536
10/1/25, 4:53:01 AM,C,6.536
10/1/25, 5:03:01 AM,C,6.536
10/1/25, 5:13:01 AM,C,6.536
10/1/25, 5:23:01 AM,C,6.536
10/1/25, 5:33:01 AM,C,6.536
10/1/25, 5:43:01 AM,C,6.536
10/1/25, 5:53:01 AM,C,6.536
10/1/25, 6:03:01 AM,C,6.536
10/1/25, 6:13:01 AM,C,6.536
10/1/25, 6:23:01 AM,C,6.536
10/1/25, 6:33:01 AM,C,6.536
10/1/25, 6:43:01 AM,C,7.036
10/1/25, 6:53:01 AM,C,6.536
10/1/25, 7:03:01 AM,C,6.536
10/1/25, 7:13:01 AM,C,6.536
10/1/25, 7:23:01 AM,C,6.536
10/1/25, 7:33:01 AM,C,6.536
10/1/25, 7:43:01 AM,C,7.036
10/1/25, 7:53:01 AM,C,7.036
10/1/25, 8:03:01 AM,C,7.036
10/1/25, 8:13:01 AM,C,7.036
10/1/25, 8:23:01 AM,C,7.036
10/1/25, 8:33:01 AM,C,7.537
10/1/25, 8:43:01 AM,C,7.537
10/1/25, 8:53:01 AM,C,7.537
10/1/25, 9:03:01 AM,C,8.038
10/1/25, 9:13:01 AM,C,8.038
10/1/25, 9:23:01 AM,C,7.537
10/1/25, 9:33:01 AM,C,7.537
10/1/25, 9:43:01 AM,C,7.537
10/1/25, 9:53:01 AM,C,8.038
10/1/25, 10:03:01 AM,C,8.038
10/1/25, 10:13:01 AM,C,8.538
10/1/25, 10:23:01 AM,C,8.038
10/1/25, 10:33:01 AM,C,8.538
10/1/25, 10:43:01 AM,C,8.538
10/1/25, 10:53:01 AM,C,8.538
10/1/25, 11:03:01 AM,C,8.538
10/1/25, 11:13:01 AM,C,8.538
10/1/25, 11:23:01 AM,C,9.039
10/1/25, 11:33:01 AM,C,9.039
10/1/25, 11:43:01 AM,C,9.039
10/1/25, 11:53:01 AM,C,9.039
10/1/25, 12:03:01 PM,C,9.039
10/1/25, 12:13:01 PM,C,10.04
10/1/25, 12:23:01 PM,C,9.54
10/1/25, 12:33:01 PM,C,9.039
10/1/25, 12:43:01 PM,C,9.54
10/1/25, 12:53:01 PM,C,9.54
10/1/25, 1:03:01 PM,C,9.54
10/1/25, 1:13:01 PM,C,9.54
10/1/25, 1:23:01 PM,C,9.54
10/1/25, 1:33:01 PM,C,9.54
10/1/25, 1:43:01 PM,C,9.54
10/1/25, 1:53:01 PM,C,10.04
10/1/25, 2:03:01 PM,C,10.541
10/1/25, 2:13:01 PM,C,10.541
10/1/25, 2:23:01 PM,C,10.541
10/1/25, 2:33:01 PM,C,10.541
10/1/25, 2:43:01 PM,C,10.541
10/1/25, 2:53:01 PM,C,10.04
10/1/25, 3:03:01 PM,C,10.04
10/1/25, 3:13:01 PM,C,10.04
10/1/25, 3:23:01 PM,C,10.04
10/1/25, 3:33:01 PM,C,10.04
10/1/25, 3:43:01 PM,C,10.541
10/1/25, 3:53:01 PM,C,10.541
10/1/25, 4:03:01 PM,C,10.541
10/1/25, 4:13:01 PM,C,10.541
10/1/25, 4:23:01 PM,C,10.541
10/1/25, 4:33:01 PM,C,10.541
10/1/25, 4:43:01 PM,C,10.541
10/1/25, 4:53:01 PM,C,10.04
10/1/25, 5:03:01 PM,C,10.04
10/1/25, 5:13:01 PM,C,10.04
10/1/25, 5:23:01 PM,C,9.54
10/1/25, 5:33:01 PM,C,9.039
10/1/25, 5:43:01 PM,C,9.039
10/1/25, 5:53:01 PM,C,8.538
10/1/25, 6:03:01 PM,C,8.038
10/1/25, 6:13:01 PM,C,7.537
10/1/25, 6:23:01 PM,C,7.537
10/1/25, 6:33:01 PM,C,7.537
10/1/25, 6:43:01 PM,C,7.537
10/1/25, 6:53:01 PM,C,7.036
10/1/25, 7:03:01 PM,C,6.536
10/1/25, 7:13:01 PM,C,7.036
10/1/25, 7:23:01 PM,C,7.036
10/1/25, 7:33:01 PM,C,6.536
10/1/25, 7:43:01 PM,C,6.536
10/1/25, 7:53:01 PM,C,6.536
10/1/25, 8:03:01 PM,C,7.036
10/1/25, 8:13:01 PM,C,7.537
10/1/25, 8:23:01 PM,C,7.036
10/1/25, 8:33:01 PM,C,7.036
10/1/25, 8:43:01 PM,C,7.036
10/1/25, 8:53:01 PM,C,7.036
10/1/25, 9:03:01 PM,C,6.536
10/1/25, 9:13:01 PM,C,6.536
10/1/25, 9:23:01 PM,C,6.536
10/1/25, 9:33:01 PM,C,7.537
10/1/25, 9:43:01 PM,C,7.036
10/1/25, 9:53:01 PM,C,6.536
10/1/25, 10:03:01 PM,C,7.537
10/1/25, 10:13:01 PM,C,6.536
10/1/25, 10:23:01 PM,C,6.536
10/1/25, 10:33:01 PM,C,6.035
10/1/25, 10:43:01 PM,C,5.534
10/1/25, 10:53:01 PM,C,6.035
10/1/25, 11:03:01 PM,C,6.035
10/1/25, 11:13:01 PM,C,6.536
10/1/25, 11:23:01 PM,C,7.036
10/1/25, 11:33:01 PM,C,7.537
10/1/25, 11:43:01 PM,C,7.537
10/1/25, 11:53:01 PM,C,8.038
10/2/25, 12:03:01 AM,C,8.038
10/2/25, 12:13:01 AM,C,8.038
10/2/25, 12:23:01 AM,C,8.038
10/2/25, 12:33:01 AM,C,8.038
10/2/25, 12:43:01 AM,C,8.038
10/2/25, 12:53:01 AM,C,8.038
10/2/25, 1:03:01 AM,C,8.038
10/2/25, 1:13:01 AM,C,8.538
10/2/25, 1:23:01 AM,C,8.538
10/2/25, 1:33:01 AM,C,8.538
10/2/25, 1:43:01 AM,C,8.538
10/2/25, 1:53:01 AM,C,9.039
10/2/25, 2:03:01 AM,C,9.039
10/2/25, 2:13:01 AM,C,9.039
10/2/25, 2:23:01 AM,C,9.039
10/2/25, 2:33:01 AM,C,9.039
10/2/25, 2:43:01 AM,C,9.039
10/2/25, 2:53:01 AM,C,9.039
10/2/25, 3:03:01 AM,C,9.039
10/2/25, 3:13:01 AM,C,9.039
10/2/25, 3:23:01 AM,C,8.538
10/2/25, 3:33:01 AM,C,8.538
10/2/25, 3:43:01 AM,C,8.538
10/2/25, 3:53:01 AM,C,8.538
10/2/25, 4:03:01 AM,C,8.538
10/2/25, 4:13:01 AM,C,8.538
10/2/25, 4:23:01 AM,C,8.538
10/2/25, 4:33:01 AM,C,9.039
10/2/25, 4:43:01 AM,C,9.039
10/2/25, 4:53:01 AM,C,9.039
10/2/25, 5:03:01 AM,C,9.039
10/2/25, 5:13:01 AM,C,9.039
10/2/25, 5:23:01 AM,C,9.039
10/2/25, 5:33:01 AM,C,9.039
10/2/25, 5:43:01 AM,C,8.538
10/2/25, 5:53:01 AM,C,8.538
10/2/25, 6:03:01 AM,C,8.538
10/2/25, 6:13:01 AM,C,8.538
10/2/25, 6:23:01 AM,C,8.538
10/2/25, 6:33:01 AM,C,8.538
10/2/25, 6:43:01 AM,C,8.538
10/2/25, 6:53:01 AM,C,8.538
10/2/25, 7:03:01 AM,C,9.039
10/2/25, 7:13:01 AM,C,9.039
10/2/25, 7:23:01 AM,C,9.039
10/2/25, 7:33:01 AM,C,9.039
10/2/25, 7:43:01 AM,C,9.54
10/2/25, 7:53:01 AM,C,10.04
10/2/25, 8:03:01 AM,C,10.04
10/2/25, 8:13:01 AM,C,9.54
10/2/25, 8:23:01 AM,C,9.039
10/2/25, 8:33:01 AM,C,9.039
10/2/25, 8:43:01 AM,C,9.039
10/2/25, 8:53:01 AM,C,9.039
10/2/25, 9:03:01 AM,C,9.039
10/2/25, 9:13:01 AM,C,9.039
10/2/25, 9:23:01 AM,C,9.039
10/2/25, 9:33:01 AM,C,8.538
10/2/25, 9:43:01 AM,C,8.538
10/2/25, 9:53:01 AM,C,8.538
10/2/25, 10:03:01 AM,C,8.538
10/2/25, 10:13:01 AM,C,8.538
10/2/25, 10:23:01 AM,C,8.538
10/2/25, 10:33:01 AM,C,8.538
10/2/25, 10:43:01 AM,C,8.538
10/2/25, 10:53:01 AM,C,9.039
10/2/25, 11:03:01 AM,C,9.039
10/2/25, 11:13:01 AM,C,9.039
10/2/25, 11:23:01 AM,C,9.54
10/2/25, 11:33:01 AM,C,9.54
10/2/25, 11:43:01 AM,C,9.039
10/2/25, 11:53:01 AM,C,9.039
10/2/25, 12:03:01 PM,C,8.538
10/2/25, 12:13:01 PM,C,8.538
10/2/25, 12:23:01 PM,C,9.039
10/2/25, 12:33:01 PM,C,9.039
10/2/25, 12:43:01 PM,C,9.039
10/2/25, 12:53:01 PM,C,9.039
10/2/25, 1:03:01 PM,C,9.54
10/2/25, 1:13:01 PM,C,9.039
10/2/25, 1:23:01 PM,C,9.54
10/2/25, 1:33:01 PM,C,9.039
10/2/25, 1:43:01 PM,C,9.039
10/2/25, 1:53:01 PM,C,9.039
10/2/25, 2:03:01 PM,C,9.039
10/2/25, 2:13:01 PM,C,9.54
10/2/25, 2:23:01 PM,C,9.54
10/2/25, 2:33:01 PM,C,9.54
10/2/25, 2:43:01 PM,C,9.54
10/2/25, 2:53:01 PM,C,9.54
10/2/25, 3:03:01 PM,C,9.54
10/2/25, 3:13:01 PM,C,9.54
10/2/25, 3:23:01 PM,C,10.04
10/2/25, 3:33:01 PM,C,9.54
10/2/25, 3:43:01 PM,C,9.039
10/2/25, 3:53:01 PM,C,8.538
10/2/25, 4:03:01 PM,C,8.538
10/2/25, 4:13:01 PM,C,8.538
10/2/25, 4:23:01 PM,C,8.038
10/2/25, 4:33:01 PM,C,8.038
10/2/25, 4:43:01 PM,C,8.038
10/2/25, 4:53:01 PM,C,8.038
10/2/25, 5:03:01 PM,C,7.537
10/2/25, 5:13:01 PM,C,7.537
10/2/25, 5:23:01 PM,C,7.537
10/2/25, 5:33:01 PM,C,8.038
10/2/25, 5:43:01 PM,C,8.038
10/2/25, 5:53:01 PM,C,8.038
10/2/25, 6:03:01 PM,C,8.038
10/2/25, 6:13:01 PM,C,7.537
10/2/25, 6:23:01 PM,C,7.537
10/2/25, 6:33:01 PM,C,7.537
10/2/25, 6:43:01 PM,C,7.537
10/2/25, 6:53:01 PM,C,7.036
10/2/25, 7:03:01 PM,C,7.036
10/2/25, 7:13:01 PM,C,7.036
10/2/25, 7:23:01 PM,C,6.536
10/2/25, 7:33:01 PM,C,6.536
10/2/25, 7:43:01 PM,C,6.536
10/2/25, 7:53:01 PM,C,6.536
10/2/25, 8:03:01 PM,C,6.536
10/2/25, 8:13:01 PM,C,6.536
10/2/25, 8:23:01 PM,C,6.536
10/2/25, 8:33:01 PM,C,6.035
10/2/25, 8:43:01 PM,C,6.035
10/2/25, 8:53:01 PM,C,5.534
10/2/25, 9:03:01 PM,C,5.534
10/2/25, 9:13:01 PM,C,5.033
10/2/25, 9:23:01 PM,C,5.033
10/2/25, 9:33:01 PM,C,4.533
10/2/25, 9:43:01 PM,C,4.032
10/2/25, 9:53:01 PM,C,3.531
10/2/25, 10:03:01 PM,C,3.531
10/2/25, 10:13:01 PM,C,3.03
10/2/25, 10:23:01 PM,C,3.03
10/2/25, 10:33:01 PM,C,2.529
10/2/25, 10:43:01 PM,C,2.529
10/2/25, 10:53:01 PM,C,2.028
10/2/25, 11:03:01 PM,C,1.527
10/2/25, 11:13:01 PM,C,1.527
10/2/25, 11:23:01 PM,C,1.026
10/2/25, 11:33:01 PM,C,0.526
10/2/25, 11:43:01 PM,C,0.526
10/2/25, 11:53:01 PM,C,0.025
10/3/25, 12:03:01 AM,C,0.025
10/3/25, 12:13:01 AM,C,0.025
10/3/25, 12:23:01 AM,C,-0.476
10/3/25, 12:33:01 AM,C,-0.476
10/3/25, 12:43:01 AM,C,-0.476
10/3/25, 12:53:01 AM,C,-0.476
10/3/25, 1:03:01 AM,C,-0.977
10/3/25, 1:13:01 AM,C,-0.977
10/3/25, 1:23:01 AM,C,-0.977
10/3/25, 1:33:01 AM,C,-0.977
10/3/25, 1:43:01 AM,C,-0.977
10/3/25, 1:53:01 AM,C,-0.977
10/3/25, 2:03:01 AM,C,-0.476
10/3/25, 2:13:01 AM,C,-0.476
10/3/25, 2:23:01 AM,C,-0.476
10/3/25, 2:33:01 AM,C,-0.476
10/3/25, 2:43:01 AM,C,-0.977
10/3/25, 2:53:01 AM,C,-0.977
10/3/25, 3:03:01 AM,C,-0.977
10/3/25, 3:13:01 AM,C,-0.977
10/3/25, 3:23:01 AM,C,-0.977
10/3/25, 3:33:01 AM,C,-0.977
10/3/25, 3:43:01 AM,C,-0.977
10/3/25, 3:53:01 AM,C,-0.977
10/3/25, 4:03:01 AM,C,-0.977
10/3/25, 4:13:01 AM,C,-0.977
10/3/25, 4:23:01 AM,C,-1.478
10/3/25, 4:33:01 AM,C,-1.478
10/3/25, 4:43:01 AM,C,-1.478
10/3/25, 4:53:01 AM,C,-1.478
10/3/25, 5:03:01 AM,C,-1.478
10/3/25, 5:13:01 AM,C,-0.977
10/3/25, 5:23:01 AM,C,-0.977
10/3/25, 5:33:01 AM,C,-1.478
10/3/25, 5:43:01 AM,C,-1.478
10/3/25, 5:53:01 AM,C,-1.478
10/3/25, 6:03:01 AM,C,-1.98
10/3/25, 6:13:01 AM,C,-1.98
10/3/25, 6:23:01 AM,C,-1.478
10/3/25, 6:33:01 AM,C,-1.98
10/3/25, 6:43:01 AM,C,-1.98
10/3/25, 6:53:01 AM,C,-1.98
10/3/25, 7:03:01 AM,C,-1.98
10/3/25, 7:13:01 AM,C,-1.98
10/3/25, 7:23:01 AM,C,-1.478
10/3/25, 7:33:01 AM,C,-0.977
10/3/25, 7:43:01 AM,C,-0.476
10/3/25, 7:53:01 AM,C,-0.476
10/3/25, 8:03:01 AM,C,0.025
10/3/25, 8:13:01 AM,C,0.025
10/3/25, 8:23:01 AM,C,0.025
10/3/25, 8:33:01 AM,C,0.025
10/3/25, 8:43:01 AM,C,0.526
10/3/25, 8:53:01 AM,C,0.526
10/3/25, 9:03:01 AM,C,0.526
10/3/25, 9:13:01 AM,C,1.026
10/3/25, 9:23:01 AM,C,1.527
10/3/25, 9:33:01 AM,C,2.028
10/3/25, 9:43:01 AM,C,4.032
10/3/25, 9:53:01 AM,C,5.033
10/3/25, 10:03:01 AM,C,6.035
10/3/25, 10:13:01 AM,C,5.033
10/3/25, 10:23:01 AM,C,7.537
10/3/25, 10:33:01 AM,C,7.036
10/3/25, 10:43:01 AM,C,5.033
10/3/25, 10:53:01 AM,C,5.033
10/3/25, 11:03:01 AM,C,5.033
10/3/25, 11:13:01 AM,C,5.033
10/3/25, 11:23:01 AM,C,5.534
10/3/25, 11:33:01 AM,C,6.035
10/3/25, 11:43:01 AM,C,6.035
10/3/25, 11:53:01 AM,C,6.035
10/3/25, 12:03:01 PM,C,6.536
10/3/25, 12:13:01 PM,C,7.036
10/3/25, 12:23:01 PM,C,7.537
10/3/25, 12:33:01 PM,C,8.538
10/3/25, 12:43:01 PM,C,9.039
10/3/25, 12:53:01 PM,C,11.041
10/3/25, 1:03:01 PM,C,9.54
10/3/25, 1:13:01 PM,C,8.038
10/3/25, 1:23:01 PM,C,9.54
10/3/25, 1:33:01 PM,C,9.54
10/3/25, 1:43:01 PM,C,10.04
10/3/25, 1:53:01 PM,C,10.04
10/3/25, 2:03:01 PM,C,10.541
10/3/25, 2:13:01 PM,C,12.042
10/3/25, 2:23:01 PM,C,10.541
10/3/25, 2:33:01 PM,C,9.54
10/3/25, 2:43:01 PM,C,8.538
10/3/25, 2:53:01 PM,C,6.035
10/3/25, 3:03:01 PM,C,5.534
10/3/25, 3:13:01 PM,C,7.036
10/3/25, 3:23:01 PM,C,8.038
10/3/25, 3:33:01 PM,C,8.538
10/3/25, 3:43:01 PM,C,9.039
10/3/25, 3:53:01 PM,C,10.04
10/3/25, 4:03:01 PM,C,10.541
10/3/25, 4:13:01 PM,C,10.04
10/3/25, 4:23:01 PM,C,11.041
10/3/25, 4:33:01 PM,C,9.54
10/3/25, 4:43:01 PM,C,7.537
10/3/25, 4:53:01 PM,C,7.537
10/3/25, 5:03:01 PM,C,7.537
10/3/25, 5:13:01 PM,C,9.039
10/3/25, 5:23:01 PM,C,7.537
10/3/25, 5:33:01 PM,C,8.538
10/3/25, 5:43:01 PM,C,7.036
10/3/25, 5:53:01 PM,C,6.536
10/3/25, 6:03:01 PM,C,6.035
10/3/25, 6:13:01 PM,C,5.534
10/3/25, 6:23:01 PM,C,5.534
10/3/25, 6:33:01 PM,C,5.033
10/3/25, 6:43:01 PM,C,4.533
10/3/25, 6:53:01 PM,C,4.533
10/3/25, 7:03:01 PM,C,4.533
10/3/25, 7:13:01 PM,C,4.032
10/3/25, 7:23:01 PM,C,4.032
10/3/25, 7:33:01 PM,C,3.531
10/3/25, 7:43:01 PM,C,3.531
10/3/25, 7:53:01 PM,C,3.531
10/3/25, 8:03:01 PM,C,3.531
10/3/25, 8:13:01 PM,C,3.531
10/3/25, 8:23:01 PM,C,3.531
10/3/25, 8:33:01 PM,C,3.531
10/3/25, 8:43:01 PM,C,3.531
10/3/25, 8:53:01 PM,C,4.032
10/3/25, 9:03:01 PM,C,4.533
10/3/25, 9:13:01 PM,C,4.533
10/3/25, 9:23:01 PM,C,4.533
10/3/25, 9:33:01 PM,C,4.032
10/3/25, 9:43:01 PM,C,4.032
10/3/25, 9:53:01 PM,C,3.531
10/3/25, 10:03:01 PM,C,4.032
10/3/25, 10:13:01 PM,C,3.531
10/3/25, 10:23:01 PM,C,3.03
10/3/25, 10:33:01 PM,C,2.529
10/3/25, 10:43:01 PM,C,2.529
10/3/25, 10:53:01 PM,C,2.529
10/3/25, 11:03:01 PM,C,2.028
10/3/25, 11:13:01 PM,C,1.527
10/3/25, 11:23:01 PM,C,2.028
10/3/25, 11:33:01 PM,C,2.028
10/3/25, 11:43:01 PM,C,2.028
10/3/25, 11:53:01 PM,C,2.529
10/4/25, 12:03:01 AM,C,2.028
10/4/25, 12:13:01 AM,C,2.028
10/4/25, 12:23:01 AM,C,2.028
10/4/25, 12:33:01 AM,C,1.527
10/4/25, 12:43:01 AM,C,1.527
10/4/25, 12:53:01 AM,C,1.527
10/4/25, 1:03:01 AM,C,1.527
10/4/25, 1:13:01 AM,C,2.028
10/4/25, 1:23:01 AM,C,2.529
10/4/25, 1:33:01 AM,C,2.529
10/4/25, 1:43:01 AM,C,3.03
10/4/25, 1:53:01 AM,C,3.03
10/4/25, 2:03:01 AM,C,3.03
10/4/25, 2:13:01 AM,C,3.03
10/4/25, 2:23:01 AM,C,3.531
10/4/25, 2:33:01 AM,C,3.531
10/4/25, 2:43:01 AM,C,3.531
10/4/25, 2:53:01 AM,C,3.531
10/4/25, 3:03:01 AM,C,3.531
10/4/25, 3:13:01 AM,C,3.531
10/4/25, 3:23:01 AM,C,3.531
10/4/25, 3:33:01 AM,C,3.03
10/4/25, 3:43:01 AM,C,3.03
10/4/25, 3:53:01 AM,C,2.529
